dataset,lang,mode,target_repo,target_config,target_split,pairs,source_repo,source_config,source_split,note
FaithDial,es,self_suffix,DeepPavlov/faithdial_es,default,train,history->history_es; knowledge->knowledge_es; response->response_es; original_response->original_response_es; BEGIN->BEGIN_es; VRM->VRM_es,DeepPavlov/faithdial_es,default,train,
FaithDial,es,self_suffix,DeepPavlov/faithdial_es,default,dev,history->history_es; knowledge->knowledge_es; response->response_es; original_response->original_response_es; BEGIN->BEGIN_es; VRM->VRM_es,DeepPavlov/faithdial_es,default,dev,
FaithDial,es,self_suffix,DeepPavlov/faithdial_es,default,test,history->history_es; knowledge->knowledge_es; response->response_es; original_response->original_response_es; BEGIN->BEGIN_es; VRM->VRM_es,DeepPavlov/faithdial_es,default,test,
FaithDial,fr,self_suffix,DeepPavlov/faithdial_fr,default,test,history->history_fr; knowledge->knowledge_fr,DeepPavlov/faithdial_fr,default,test,
Multi2WOZ,ru,missing,,,,,,,,not configured / no uploaded Russian Multi2WOZ translation repo found
Multi2WOZ,es,source_compare,DeepPavlov/multiwoz_es,default,train,history->history; text->text,DeepPavlov/MultiWOZ-2.1,default,train,
Multi2WOZ,es,source_compare,DeepPavlov/multiwoz_es,default,dev,history->history; text->text,DeepPavlov/MultiWOZ-2.1,default,dev,
Multi2WOZ,es,source_compare,DeepPavlov/multiwoz_es,default,test,history->history; text->text,DeepPavlov/MultiWOZ-2.1,default,test,
Multi2WOZ,fr,source_compare,DeepPavlov/multiwoz_fr,default,train,history->history; text->text,DeepPavlov/MultiWOZ-2.1,default,train,
Multi2WOZ,fr,source_compare,DeepPavlov/multiwoz_fr,default,dev,history->history; text->text,DeepPavlov/MultiWOZ-2.1,default,dev,
Multi2WOZ,fr,source_compare,DeepPavlov/multiwoz_fr,default,test,history->history; text->text,DeepPavlov/MultiWOZ-2.1,default,test,
air-dialogue,ru,self_suffix,DeepPavlov/air_dialogue_ru,default,train,text->text_ru,DeepPavlov/air_dialogue_ru,default,train,
air-dialogue,ru,self_suffix,DeepPavlov/air_dialogue_ru,default,validation,text->text_ru,DeepPavlov/air_dialogue_ru,default,validation,
air-dialogue,es,source_compare,DeepPavlov/air_dialog_es,default,train,text->text,DeepPavlov/air_dialogue,default,train,
air-dialogue,es,source_compare,DeepPavlov/air_dialog_es,default,dev,text->text,DeepPavlov/air_dialogue,default,dev,
air-dialogue,es,source_compare,DeepPavlov/air_dialog_es,default,test,text->text,DeepPavlov/air_dialogue,default,test,
air-dialogue,fr,source_compare,DeepPavlov/air_dialog_fr,default,train,text->text,DeepPavlov/air_dialogue,default,train,
air-dialogue,fr,source_compare,DeepPavlov/air_dialog_fr,default,dev,text->text,DeepPavlov/air_dialogue,default,dev,
air-dialogue,fr,source_compare,DeepPavlov/air_dialog_fr,default,test,text->text,DeepPavlov/air_dialogue,default,test,
CANARD,ru,self_suffix,DeepPavlov/canard_ru,corpus,train,text->text_ru,DeepPavlov/canard_ru,corpus,train,
CANARD,ru,self_suffix,DeepPavlov/canard_ru,corpus,validation,text->text_ru,DeepPavlov/canard_ru,corpus,validation,
CANARD,ru,self_suffix,DeepPavlov/canard_ru,corpus,test,text->text_ru,DeepPavlov/canard_ru,corpus,test,
CANARD,ru,no_text_pairs,DeepPavlov/canard_ru,qrels,,,,,,no auditable text columns inferred
CANARD,ru,self_suffix,DeepPavlov/canard_ru,queries,train,text->text_ru; history->history_ru,DeepPavlov/canard_ru,queries,train,
CANARD,ru,self_suffix,DeepPavlov/canard_ru,queries,validation,text->text_ru; history->history_ru,DeepPavlov/canard_ru,queries,validation,
CANARD,ru,self_suffix,DeepPavlov/canard_ru,queries,test,text->text_ru; history->history_ru,DeepPavlov/canard_ru,queries,test,
CANARD,es,source_compare,DeepPavlov/canard_es,corpus,train,text->text,DeepPavlov/canard,corpus,train,
CANARD,es,source_compare,DeepPavlov/canard_es,corpus,validation,text->text,DeepPavlov/canard,corpus,validation,
CANARD,es,source_compare,DeepPavlov/canard_es,corpus,test,text->text,DeepPavlov/canard,corpus,test,
CANARD,es,no_text_pairs,DeepPavlov/canard_es,qrels,,,,,,no auditable text columns inferred
CANARD,es,source_compare,DeepPavlov/canard_es,queries,train,text->text; history->history,DeepPavlov/canard,queries,train,
CANARD,es,source_compare,DeepPavlov/canard_es,queries,validation,text->text; history->history,DeepPavlov/canard,queries,validation,
CANARD,es,source_compare,DeepPavlov/canard_es,queries,test,text->text; history->history,DeepPavlov/canard,queries,test,
CANARD,fr,source_compare,DeepPavlov/canard_fr,corpus,train,text->text,DeepPavlov/canard,corpus,train,
CANARD,fr,source_compare,DeepPavlov/canard_fr,corpus,validation,text->text,DeepPavlov/canard,corpus,validation,
CANARD,fr,source_compare,DeepPavlov/canard_fr,corpus,test,text->text,DeepPavlov/canard,corpus,test,
CANARD,fr,no_text_pairs,DeepPavlov/canard_fr,qrels,,,,,,no auditable text columns inferred
CANARD,fr,source_compare,DeepPavlov/canard_fr,queries,train,text->text; history->history,DeepPavlov/canard,queries,train,
CANARD,fr,source_compare,DeepPavlov/canard_fr,queries,validation,text->text; history->history,DeepPavlov/canard,queries,validation,
CANARD,fr,source_compare,DeepPavlov/canard_fr,queries,test,text->text; history->history,DeepPavlov/canard,queries,test,
MANtIS,ru,self_suffix,DeepPavlov/Mantis_ru,default,train,dialog->dialog_ru; title->title_ru,DeepPavlov/Mantis_ru,default,train,
MANtIS,ru,self_suffix,DeepPavlov/Mantis_ru,default,dev,dialog->dialog_ru; title->title_ru,DeepPavlov/Mantis_ru,default,dev,
MANtIS,ru,self_suffix,DeepPavlov/Mantis_ru,default,test,dialog->dialog_ru; title->title_ru,DeepPavlov/Mantis_ru,default,test,
MANtIS,es,source_compare,DeepPavlov/mantis_es,default,train,dialog->dialog; title->title,DeepPavlov/Mantis,default,train,
MANtIS,es,source_compare,DeepPavlov/mantis_es,default,dev,dialog->dialog; title->title,DeepPavlov/Mantis,default,dev,
MANtIS,es,source_compare,DeepPavlov/mantis_es,default,test,dialog->dialog; title->title,DeepPavlov/Mantis,default,test,
MANtIS,fr,source_compare,DeepPavlov/mantis_fr,default,train,dialog->dialog; title->title,DeepPavlov/Mantis,default,train,
MANtIS,fr,source_compare,DeepPavlov/mantis_fr,default,dev,dialog->dialog; title->title,DeepPavlov/Mantis,default,dev,
MANtIS,fr,source_compare,DeepPavlov/mantis_fr,default,test,dialog->dialog; title->title,DeepPavlov/Mantis,default,test,
WoW,ru,self_suffix,DeepPavlov/wizard_of_wikipedia_ru,corpus,train,title->title_ru; text->text_ru,DeepPavlov/wizard_of_wikipedia_ru,corpus,train,
WoW,ru,self_suffix,DeepPavlov/wizard_of_wikipedia_ru,corpus,valid,title->title_ru; text->text_ru,DeepPavlov/wizard_of_wikipedia_ru,corpus,valid,
WoW,ru,self_suffix,DeepPavlov/wizard_of_wikipedia_ru,corpus,test,title->title_ru; text->text_ru,DeepPavlov/wizard_of_wikipedia_ru,corpus,test,
WoW,ru,no_text_pairs,DeepPavlov/wizard_of_wikipedia_ru,qrels,,,,,,no auditable text columns inferred
WoW,ru,self_suffix,DeepPavlov/wizard_of_wikipedia_ru,queries,train,topic->topic_ru; text->text_ru; persona->persona_ru,DeepPavlov/wizard_of_wikipedia_ru,queries,train,
WoW,ru,self_suffix,DeepPavlov/wizard_of_wikipedia_ru,queries,valid,topic->topic_ru; text->text_ru; persona->persona_ru,DeepPavlov/wizard_of_wikipedia_ru,queries,valid,
WoW,ru,self_suffix,DeepPavlov/wizard_of_wikipedia_ru,queries,test,topic->topic_ru; text->text_ru; persona->persona_ru,DeepPavlov/wizard_of_wikipedia_ru,queries,test,
WoW,es,source_compare,DeepPavlov/wizard_of_wikipedia_es,corpus,train,title->title; text->text,DeepPavlov/wizard_of_wikipedia,corpus,train,
WoW,es,source_compare,DeepPavlov/wizard_of_wikipedia_es,corpus,validation,title->title; text->text,DeepPavlov/wizard_of_wikipedia,corpus,valid,
WoW,es,source_compare,DeepPavlov/wizard_of_wikipedia_es,corpus,test,title->title; text->text,DeepPavlov/wizard_of_wikipedia,corpus,test,
WoW,es,no_text_pairs,DeepPavlov/wizard_of_wikipedia_es,qrels,,,,,,no auditable text columns inferred
WoW,es,source_compare,DeepPavlov/wizard_of_wikipedia_es,queries,train,text->text; persona->persona; topic->topic,DeepPavlov/wizard_of_wikipedia,queries,train,
WoW,es,source_compare,DeepPavlov/wizard_of_wikipedia_es,queries,validation,text->text; persona->persona; topic->topic,DeepPavlov/wizard_of_wikipedia,queries,valid,
WoW,es,source_compare,DeepPavlov/wizard_of_wikipedia_es,queries,test,text->text; persona->persona; topic->topic,DeepPavlov/wizard_of_wikipedia,queries,test,
WoW,fr,source_compare,DeepPavlov/wizard_of_wikipedia_fr,corpus,train,title->title; text->text,DeepPavlov/wizard_of_wikipedia,corpus,train,
WoW,fr,source_compare,DeepPavlov/wizard_of_wikipedia_fr,corpus,valid,title->title; text->text,DeepPavlov/wizard_of_wikipedia,corpus,valid,
WoW,fr,source_compare,DeepPavlov/wizard_of_wikipedia_fr,corpus,test,title->title; text->text,DeepPavlov/wizard_of_wikipedia,corpus,test,
WoW,fr,no_text_pairs,DeepPavlov/wizard_of_wikipedia_fr,qrels,,,,,,ranking labels only; no translated text columns
WoW,fr,source_compare,DeepPavlov/wizard_of_wikipedia_fr,queries,train,text->text; persona->persona; topic->topic,DeepPavlov/wizard_of_wikipedia,queries,train,
WoW,fr,source_compare,DeepPavlov/wizard_of_wikipedia_fr,queries,valid,text->text; persona->persona; topic->topic,DeepPavlov/wizard_of_wikipedia,queries,valid,
WoW,fr,source_compare,DeepPavlov/wizard_of_wikipedia_fr,queries,test,text->text; persona->persona; topic->topic,DeepPavlov/wizard_of_wikipedia,queries,test,
ClarQA,ru,self_suffix,DeepPavlov/clarqa_ru,multi_turn,train,context->context_ru; entity1->entity1_ru; entity2->entity2_ru,DeepPavlov/clarqa_ru,multi_turn,train,
ClarQA,ru,self_suffix,DeepPavlov/clarqa_ru,multi_turn,dev,context->context_ru; entity1->entity1_ru; entity2->entity2_ru,DeepPavlov/clarqa_ru,multi_turn,dev,
ClarQA,ru,self_suffix,DeepPavlov/clarqa_ru,multi_turn,test,context->context_ru; entity1->entity1_ru; entity2->entity2_ru,DeepPavlov/clarqa_ru,multi_turn,test,
ClarQA,ru,self_suffix,DeepPavlov/clarqa_ru,single_turn,train,context->context_ru; entity1->entity1_ru; entity2->entity2_ru,DeepPavlov/clarqa_ru,single_turn,train,
ClarQA,ru,self_suffix,DeepPavlov/clarqa_ru,single_turn,dev,context->context_ru; entity1->entity1_ru; entity2->entity2_ru,DeepPavlov/clarqa_ru,single_turn,dev,
ClarQA,ru,self_suffix,DeepPavlov/clarqa_ru,single_turn,test,context->context_ru; entity1->entity1_ru; entity2->entity2_ru,DeepPavlov/clarqa_ru,single_turn,test,
ClarQA,es,source_compare,DeepPavlov/clarqa_es,multi_turn,train,context->context; entity1->entity1; entity2->entity2,DeepPavlov/clarqa,multi_turn,train,
ClarQA,es,source_compare,DeepPavlov/clarqa_es,multi_turn,dev,context->context; entity1->entity1; entity2->entity2,DeepPavlov/clarqa,multi_turn,dev,
ClarQA,es,source_compare,DeepPavlov/clarqa_es,multi_turn,test,context->context; entity1->entity1; entity2->entity2,DeepPavlov/clarqa,multi_turn,test,
ClarQA,es,source_compare,DeepPavlov/clarqa_es,single_turn,train,entity2->entity2; entity1->entity1; context->context,DeepPavlov/clarqa,single_turn,train,
ClarQA,es,source_compare,DeepPavlov/clarqa_es,single_turn,dev,entity2->entity2; entity1->entity1; context->context,DeepPavlov/clarqa,single_turn,dev,
ClarQA,es,source_compare,DeepPavlov/clarqa_es,single_turn,test,entity2->entity2; entity1->entity1; context->context,DeepPavlov/clarqa,single_turn,test,
ClarQA,fr,source_compare,DeepPavlov/clarqa_fr,multi_turn,train,context->context; entity1->entity1; entity2->entity2,DeepPavlov/clarqa,multi_turn,train,
ClarQA,fr,source_compare,DeepPavlov/clarqa_fr,multi_turn,dev,context->context; entity1->entity1; entity2->entity2,DeepPavlov/clarqa,multi_turn,dev,
ClarQA,fr,source_compare,DeepPavlov/clarqa_fr,multi_turn,test,context->context; entity1->entity1; entity2->entity2,DeepPavlov/clarqa,multi_turn,test,
ClarQA,fr,source_compare,DeepPavlov/clarqa_fr,single_turn,train,context->context; entity1->entity1; entity2->entity2,DeepPavlov/clarqa,single_turn,train,
ClarQA,fr,source_compare,DeepPavlov/clarqa_fr,single_turn,dev,context->context; entity1->entity1; entity2->entity2,DeepPavlov/clarqa,single_turn,dev,
ClarQA,fr,source_compare,DeepPavlov/clarqa_fr,single_turn,test,context->context; entity1->entity1; entity2->entity2,DeepPavlov/clarqa,single_turn,test,
QReCC,ru,self_suffix,DeepPavlov/qrecc_ru,test,train,question->question_ru; rewrite->rewrite_ru; answer->answer_ru; context->context_ru,DeepPavlov/qrecc_ru,test,train,
QReCC,ru,self_suffix,DeepPavlov/qrecc_ru,train,train,question->question_ru; rewrite->rewrite_ru; answer->answer_ru; context->context_ru,DeepPavlov/qrecc_ru,train,train,
QReCC,es,source_compare,DeepPavlov/qrecc_es,default,train,context->context; question->question; rewrite->rewrite; answer->answer,DeepPavlov/qrecc,default,train,
QReCC,es,source_compare,DeepPavlov/qrecc_es,default,test,context->context; question->question; rewrite->rewrite; answer->answer,DeepPavlov/qrecc,default,test,
QReCC,fr,source_compare,DeepPavlov/qrecc_fr,default,train,context->context; question->question; rewrite->rewrite; answer->answer,DeepPavlov/qrecc,default,train,
QReCC,fr,source_compare,DeepPavlov/qrecc_fr,default,test,context->context; question->question; rewrite->rewrite; answer->answer,DeepPavlov/qrecc,default,test,
TopiOCQA,ru,source_compare,DeepPavlov/topiocqa_ru,default,train,Context->Context; Question->Question; Answer->Answer; Topic->Topic; Topic_section->Topic_section; Rationale->Rationale,McGill-NLP/TopiOCQA,plain_text,train,
TopiOCQA,ru,source_compare,DeepPavlov/topiocqa_ru,default,dev,Context->Context; Question->Question; Answer->Answer; Topic->Topic; Topic_section->Topic_section; Rationale->Rationale,McGill-NLP/TopiOCQA,plain_text,validation,
TopiOCQA,es,source_compare,DeepPavlov/topiocqa_es,default,train,Context->Context; Question->Question; Answer->Answer; Topic->Topic; Topic_section->Topic_section; Rationale->Rationale; Additional_answers->Additional_answers,McGill-NLP/TopiOCQA,plain_text,train,
TopiOCQA,es,source_compare,DeepPavlov/topiocqa_es,default,validation,Context->Context; Question->Question; Answer->Answer; Topic->Topic; Topic_section->Topic_section; Rationale->Rationale; Additional_answers->Additional_answers,McGill-NLP/TopiOCQA,plain_text,validation,
TopiOCQA,fr,source_compare,DeepPavlov/topiocqa_fr,default,train,Question->Question; Answer->Answer; Topic->Topic; Topic_section->Topic_section; Rationale->Rationale; Context->Context; Additional_answers->Additional_answers,McGill-NLP/TopiOCQA,plain_text,train,
TopiOCQA,fr,source_compare,DeepPavlov/topiocqa_fr,default,validation,Question->Question; Answer->Answer; Topic->Topic; Topic_section->Topic_section; Rationale->Rationale; Context->Context; Additional_answers->Additional_answers,McGill-NLP/TopiOCQA,plain_text,validation,
Abg-CoQA,ru,self_suffix,DeepPavlov/coqa_abg_ru,test,train,story->story_ru; target_turn->target_turn_ru; history_turns->history_turns_ru,DeepPavlov/coqa_abg_ru,test,train,
Abg-CoQA,ru,self_suffix,DeepPavlov/coqa_abg_ru,train,train,story->story_ru; target_turn->target_turn_ru; history_turns->history_turns_ru,DeepPavlov/coqa_abg_ru,train,train,
Abg-CoQA,ru,self_suffix,DeepPavlov/coqa_abg_ru,val,train,story->story_ru; target_turn->target_turn_ru; history_turns->history_turns_ru,DeepPavlov/coqa_abg_ru,val,train,
Abg-CoQA,es,source_compare,DeepPavlov/coqa_abg_es,default,train,story->story; target_turn->target_turn; history_turns->history_turns; clarification_turn->clarification_turn; clarification_turn_2->clarification_turn_2,DeepPavlov/coqa_abg,default,train,
Abg-CoQA,es,source_compare,DeepPavlov/coqa_abg_es,default,val,story->story; target_turn->target_turn; history_turns->history_turns; clarification_turn->clarification_turn; clarification_turn_2->clarification_turn_2,DeepPavlov/coqa_abg,default,val,
Abg-CoQA,es,source_compare,DeepPavlov/coqa_abg_es,default,test,story->story; target_turn->target_turn; history_turns->history_turns; clarification_turn->clarification_turn; clarification_turn_2->clarification_turn_2,DeepPavlov/coqa_abg,default,test,
Abg-CoQA,fr,source_compare,DeepPavlov/coqa_abg_fr,default,train,story->story; target_turn->target_turn; history_turns->history_turns; clarification_turn->clarification_turn; clarification_turn_2->clarification_turn_2,DeepPavlov/coqa_abg,default,train,
Abg-CoQA,fr,source_compare,DeepPavlov/coqa_abg_fr,default,val,story->story; target_turn->target_turn; history_turns->history_turns; clarification_turn->clarification_turn; clarification_turn_2->clarification_turn_2,DeepPavlov/coqa_abg,default,val,
Abg-CoQA,fr,source_compare,DeepPavlov/coqa_abg_fr,default,test,story->story; target_turn->target_turn; history_turns->history_turns; clarification_turn->clarification_turn; clarification_turn_2->clarification_turn_2,DeepPavlov/coqa_abg,default,test,
Coral,ru,self_suffix,DeepPavlov/coral_ru,corpus,train,text->text_ru,DeepPavlov/coral_ru,corpus,train,
Coral,ru,no_text_pairs,DeepPavlov/coral_ru,qrels,,,,,,no auditable text columns inferred
Coral,ru,self_suffix,DeepPavlov/coral_ru,queries,train,text->text_ru,DeepPavlov/coral_ru,queries,train,
Coral,ru,self_suffix,DeepPavlov/coral_ru,queries,test,text->text_ru,DeepPavlov/coral_ru,queries,test,
Coral,es,source_compare,DeepPavlov/coral_es,corpus,train,text->text,DeepPavlov/coral,corpus,train,
Coral,es,no_text_pairs,DeepPavlov/coral_es,qrels,,,,,,no auditable text columns inferred
Coral,es,source_compare,DeepPavlov/coral_es,queries,train,text->text,DeepPavlov/coral,queries,train,
Coral,es,source_compare,DeepPavlov/coral_es,queries,test,text->text,DeepPavlov/coral,queries,test,
Coral,fr,missing,DeepPavlov/coral_fr,,,,,,,DeepPavlov/coral_fr is not accessible publicly; no uploaded translation data to audit
TREC iKAT 2023,ru,self_suffix,DeepPavlov/iKAT_2023_ru,corpus,train,text->text_ru,DeepPavlov/iKAT_2023_ru,corpus,train,
TREC iKAT 2023,ru,self_suffix,DeepPavlov/iKAT_2023_ru,corpus,test,text->text_ru,DeepPavlov/iKAT_2023_ru,corpus,test,
TREC iKAT 2023,ru,no_text_pairs,DeepPavlov/iKAT_2023_ru,qrels,,,,,,no auditable text columns inferred
TREC iKAT 2023,ru,self_suffix,DeepPavlov/iKAT_2023_ru,queries,train,utterance->utterance_ru; text->text_ru,DeepPavlov/iKAT_2023_ru,queries,train,
TREC iKAT 2023,ru,self_suffix,DeepPavlov/iKAT_2023_ru,queries,test,utterance->utterance_ru; text->text_ru,DeepPavlov/iKAT_2023_ru,queries,test,
TREC iKAT 2023,es,source_compare,DeepPavlov/ikat_es,corpus,train,text->text,DeepPavlov/iKAT_2023,corpus,train,
TREC iKAT 2023,es,source_compare,DeepPavlov/ikat_es,corpus,test,text->text,DeepPavlov/iKAT_2023,corpus,test,
TREC iKAT 2023,es,no_text_pairs,DeepPavlov/ikat_es,qrels,,,,,,no auditable text columns inferred
TREC iKAT 2023,es,source_compare,DeepPavlov/ikat_es,queries,train,utterance->utterance; text->text,DeepPavlov/iKAT_2023,queries,train,
TREC iKAT 2023,es,source_compare,DeepPavlov/ikat_es,queries,test,utterance->utterance; text->text,DeepPavlov/iKAT_2023,queries,test,
TREC iKAT 2023,fr,source_compare,DeepPavlov/iKAT_2023_fr,corpus,train,text->text,DeepPavlov/iKAT_2023,corpus,train,
TREC iKAT 2023,fr,source_compare,DeepPavlov/iKAT_2023_fr,corpus,test,text->text,DeepPavlov/iKAT_2023,corpus,test,
TREC iKAT 2023,fr,no_text_pairs,DeepPavlov/iKAT_2023_fr,qrels,,,,,,no auditable text columns inferred
TREC iKAT 2023,fr,source_compare,DeepPavlov/iKAT_2023_fr,queries,train,utterance->utterance; text->text,DeepPavlov/iKAT_2023,queries,train,
